[2025-06-15 13:19:07] [INFO] Rules loaded successfully
[2025-06-15 13:19:07] [INFO] Process rules loaded successfully
[2025-06-15 13:19:07] [INFO] Bad hashes loaded successfully
[2025-06-15 13:19:09] [INFO] [TCP_PACKET] IP Packet: 192.168.1.100 -> 157.240.1.63 [TCP 14331 -> 443] [Flags: PSH ACK ]
[2025-06-15 13:19:09] [INFO] [TCP_PACKET] IP Packet: 157.240.1.63 -> 192.168.1.100 [TCP 443 -> 14331] [Flags: ACK ]
[2025-06-15 13:19:09] [INFO] [TCP_PACKET] IP Packet: 157.240.1.63 -> 192.168.1.100 [TCP 443 -> 14331] [Flags: PSH ACK ]
[2025-06-15 13:19:09] [INFO] [TCP_PACKET] IP Packet: 192.168.1.100 -> 157.240.1.63 [TCP 14331 -> 443] [Flags: ACK ]
[2025-06-15 13:19:11] [INFO] [UDP_PACKET] IP Packet: 192.168.1.102 -> 224.0.0.251 [UDP 5353 -> 5353]
[2025-06-15 13:19:12] [INFO] [TCP_PACKET] IP Packet: 192.168.1.100 -> 13.69.239.72 [TCP 62210 -> 443] [Flags: PSH ACK ]
[2025-06-15 13:19:12] [INFO] [TCP_PACKET] IP Packet: 192.168.1.100 -> 13.69.239.72 [TCP 62210 -> 443] [Flags: ACK ]
[2025-06-15 13:19:12] [INFO] [TCP_PACKET] IP Packet: 192.168.1.100 -> 13.69.239.72 [TCP 62210 -> 443] [Flags: ACK ]
[2025-06-15 13:19:12] [INFO] [TCP_PACKET] IP Packet: 192.168.1.100 -> 13.69.239.72 [TCP 62210 -> 443] [Flags: ACK ]
[2025-06-15 13:19:12] [INFO] [TCP_PACKET] IP Packet: 192.168.1.100 -> 13.69.239.72 [TCP 62210 -> 443] [Flags: PSH ACK ]
[2025-06-15 13:19:12] [INFO] [TCP_PACKET] IP Packet: 13.69.239.72 -> 192.168.1.100 [TCP 443 -> 62210] [Flags: ACK ]
[2025-06-15 13:19:12] [INFO] [TCP_PACKET] IP Packet: 13.69.239.72 -> 192.168.1.100 [TCP 443 -> 62210] [Flags: PSH ACK ]
[2025-06-15 13:19:12] [INFO] [TCP_PACKET] IP Packet: 192.168.1.100 -> 13.69.239.72 [TCP 62210 -> 443] [Flags: ACK ]
[2025-06-15 13:19:12] [INFO] [TCP_PACKET] IP Packet: 13.69.239.72 -> 192.168.1.100 [TCP 443 -> 62210] [Flags: ACK ]
[2025-06-15 13:19:12] [INFO] [TCP_PACKET] IP Packet: 13.69.239.72 -> 192.168.1.100 [TCP 443 -> 62210] [Flags: PSH ACK ]
[2025-06-15 13:19:12] [INFO] [TCP_PACKET] IP Packet: 192.168.1.100 -> 13.69.239.72 [TCP 62210 -> 443] [Flags: ACK ]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:12] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
